"region","age","mean_zscore"
"ISM",50,2.10983754764984
"ISM",150,1.92878819042149
"ISM",250,1.54170564402895
"ISM",350,1.57721666591378
"ISM",450,1.10664837142329
"ISM",550,1.00186871044499
"ISM",650,1.12644430512004
"ISM",750,0.832205063824236
"ISM",850,1.26292366532824
"ISM",950,1.59693321057143
"ISM",1050,2.05065145193681
"ISM",1150,0.794312236138244
"ISM",1250,0.465337751948789
"ISM",1350,0.864389066086019
"ISM",1450,0.707665621389058
"ISM",1550,0.933243478973607
"ISM",1650,0.700059755258533
"ISM",1750,0.182694234803041
"ISM",1850,0.657838645817093
"ISM",1950,0.108688923109961
"ISM",2050,0.249657794920105
"ISM",2150,0.847002475405571
"ISM",2250,0.917098764880562
"ISM",2350,1.3136706413173
"ISM",2450,1.08715013719481
"ISM",2550,0.703148155277458
"ISM",2650,0.19300000284781
"ISM",2750,0.386394476986411
"ISM",2850,0.504410295468393
"ISM",2950,0.285232421269889
"ISM",3050,0.160803842335681
"ISM",3150,0.197817353638694
"ISM",3250,0.11451140676527
"ISM",3350,0.514339720414938
"ISM",3450,0.0237971897039341
"ISM",3550,0.266141684648682
"ISM",3650,-0.581349654554497
"ISM",3750,-0.281321841198945
"ISM",3850,-0.250705416012652
"ISM",3950,-0.137727847899096
"ISM",4050,-0.568188597728812
"ISM",4150,-0.141737078782136
"ISM",4250,0.212791093544145
"ISM",4350,-0.237802506512025
"ISM",4450,-0.463648048399041
"ISM",4550,-0.366108590602461
"ISM",4650,-0.0769942568789919
"ISM",4750,-0.886417136839019
"ISM",4850,-0.486182687024624
"ISM",4950,-1.00926925311462
"ISM",5050,-0.668066425130134
"ISM",5150,-0.385105477121045
"ISM",5250,-0.991658474513174
"ISM",5350,0.128049995330035
"ISM",5450,-0.540254221201322
"ISM",5550,-0.261761222967571
"ISM",5650,-1.1431393864931
"ISM",5750,-0.787730920626207
"ISM",5850,-1.81443420869523
"ISM",5950,-1.93454870433144
"ISM",6050,-1.96737372590879
"ISM",6150,-1.72493234113968
"ISM",6250,-1.76926174647595
"ISM",6350,-1.23448442182874
"ISM",6450,-1.4473609838192
"ISM",6550,-1.65472094966884
"ISM",6650,-1.70990927953306
"ISM",6750,-2.0884710484094
"ISM",6850,-2.19516791670284
"ISM",6950,-1.75055701817576
"ISM",7050,-2.11882881376305
"ISM",7150,-2.52263115410445
"ISM",7250,-2.52955510925997
"ISM",7350,-2.13783818205528
"ISM",7450,-2.72045025954087
"ISM",7550,-3.16078893051068
"ISM",7650,-3.25289811871599
