"site_id","latitude","longitude"
1,30.7903,77.7764
3,-4.0667,-55.45
6,32.5,119.17
7,-24,29.1833
10,-21.083,-56.583
12,25.2622,91.8817
17,33.5833,105.1167
23,-14.37,-44.28
25,-5.92,-77.35
27,-16,-47
35,-15.2002,-56.7839
36,33.133,106.3
37,33.3722,-86.3667
38,-12.3819,-41.5733
39,25.2833,108.0833
45,39.68,115.65
52,-15.2055,-56.8
54,30.6,77.8667
60,-15.5333,167.0167
62,-12.3495,-41.6038
63,20.73,-89.716
64,25.25,91.8667
78,9.1741,-79.6164
80,29.2289,107.9036
85,16.883,-89.108
94,-15.53,46.88
95,27.8894,-82.5186
99,-19.4,17.8833
104,-8.53,120.43
107,16.2086,-89.0735
112,30.75,109.47
116,4.03,114.8
122,30.45,110.4167
126,30.6419,77.6521
130,19,82
136,17.4,-99.2
140,31.667,110.4333
142,30.9167,90.0667
153,18.8667,81.8667
154,33.5667,109.1
155,-15.3,128.62
157,15.15,77.92
173,18,-67
174,26.0167,104.095
176,31.3333,110.3667
177,22.55,-83.84
178,25.4833,107.9
180,-17.2,144.6
181,-9.489,159.974
182,19,82
183,22.38,-83.97
184,-22.1,114
186,-8.05,110.633
189,16.6769,-89.0925
195,13.2,-59.6
198,29.48,109.5333
204,16.5,-89
205,-13.81,-46.35
206,-13.81,-46.35
207,-5.7,-77.9
208,-0.36,100.76
216,27.2,106.1667
217,29.5,115.5
218,41.3333,124.9167
219,28.71,117.26
223,33.32,105
224,33,106.33
228,32.1,-104.26
232,20.59,-87.13
235,-5.9406,-77.3081
244,38.1667,113.7167
248,28.333,103.1
250,33.82,105.43
251,38.25,113.7
274,10.17,-85.33
278,32,-105.2
281,10.55,-84.77
293,20.75,102.65
294,18.35,-66.5
